season,round,race_date,race_name,circuit_id,circuit_name,driver_id,driver_code,constructor_id,constructor_name,grid_position,finish_position,points,source
2021,1,2021-03-28,Bahrain Grand Prix,,,hamilton,HAM,mercedes,Mercedes,2,1,25.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,max_verstappen,VER,red_bull,Red Bull Racing,1,2,18.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,bottas,BOT,mercedes,Mercedes,3,3,16.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,norris,NOR,mclaren,McLaren,7,4,12.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,perez,PER,red_bull,Red Bull Racing,0,5,10.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,leclerc,LEC,ferrari,Ferrari,4,6,8.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,ricciardo,RIC,mclaren,McLaren,6,7,6.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,sainz,SAI,ferrari,Ferrari,8,8,4.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,tsunoda,TSU,alphatauri,AlphaTauri,13,9,2.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,stroll,STR,aston_martin,Aston Martin,10,10,1.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,raikkonen,RAI,alfa,Alfa Romeo Racing,14,11,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,giovinazzi,GIO,alfa,Alfa Romeo Racing,12,12,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,ocon,OCO,alpine,Alpine,16,13,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,russell,RUS,williams,Williams,15,14,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,vettel,VET,aston_martin,Aston Martin,20,15,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,mick_schumacher,MSC,haas,Haas F1 Team,18,16,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,gasly,GAS,alphatauri,AlphaTauri,5,17,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,latifi,LAT,williams,Williams,17,18,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,alonso,ALO,alpine,Alpine,9,19,0.0,fastf1
2021,1,2021-03-28,Bahrain Grand Prix,,,mazepin,MAZ,haas,Haas F1 Team,19,20,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,max_verstappen,VER,red_bull,Red Bull Racing,3,1,25.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,hamilton,HAM,mercedes,Mercedes,1,2,19.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,norris,NOR,mclaren,McLaren,7,3,15.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,leclerc,LEC,ferrari,Ferrari,4,4,12.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,sainz,SAI,ferrari,Ferrari,11,5,10.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,ricciardo,RIC,mclaren,McLaren,6,6,8.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,gasly,GAS,alphatauri,AlphaTauri,5,7,6.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,stroll,STR,aston_martin,Aston Martin,10,8,4.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,ocon,OCO,alpine,Alpine,9,9,2.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,alonso,ALO,alpine,Alpine,15,10,1.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,perez,PER,red_bull,Red Bull Racing,2,11,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,tsunoda,TSU,alphatauri,AlphaTauri,20,12,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,raikkonen,RAI,alfa,Alfa Romeo Racing,16,13,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,giovinazzi,GIO,alfa,Alfa Romeo Racing,17,14,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,vettel,VET,aston_martin,Aston Martin,0,15,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,mick_schumacher,MSC,haas,Haas F1 Team,18,16,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,mazepin,MAZ,haas,Haas F1 Team,19,17,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,bottas,BOT,mercedes,Mercedes,8,18,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,russell,RUS,williams,Williams,12,19,0.0,fastf1
2021,2,2021-04-18,Emilia Romagna Grand Prix,,,latifi,LAT,williams,Williams,14,20,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,hamilton,HAM,mercedes,Mercedes,2,1,25.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,max_verstappen,VER,red_bull,Red Bull Racing,3,2,18.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,bottas,BOT,mercedes,Mercedes,1,3,16.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,perez,PER,red_bull,Red Bull Racing,4,4,12.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,norris,NOR,mclaren,McLaren,7,5,10.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,leclerc,LEC,ferrari,Ferrari,8,6,8.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,ocon,OCO,alpine,Alpine,6,7,6.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,alonso,ALO,alpine,Alpine,13,8,4.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,ricciardo,RIC,mclaren,McLaren,16,9,2.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,gasly,GAS,alphatauri,AlphaTauri,9,10,1.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,sainz,SAI,ferrari,Ferrari,5,11,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,giovinazzi,GIO,alfa,Alfa Romeo Racing,12,12,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,vettel,VET,aston_martin,Aston Martin,10,13,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,stroll,STR,aston_martin,Aston Martin,17,14,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,tsunoda,TSU,alphatauri,AlphaTauri,14,15,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,russell,RUS,williams,Williams,11,16,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,mick_schumacher,MSC,haas,Haas F1 Team,19,17,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,latifi,LAT,williams,Williams,18,18,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,mazepin,MAZ,haas,Haas F1 Team,20,19,0.0,fastf1
2021,3,2021-05-02,Portuguese Grand Prix,,,raikkonen,RAI,alfa,Alfa Romeo Racing,15,20,0.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,hamilton,HAM,mercedes,Mercedes,1,1,25.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,max_verstappen,VER,red_bull,Red Bull Racing,2,2,19.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,bottas,BOT,mercedes,Mercedes,3,3,15.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,leclerc,LEC,ferrari,Ferrari,4,4,12.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,perez,PER,red_bull,Red Bull Racing,8,5,10.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,ricciardo,RIC,mclaren,McLaren,7,6,8.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,sainz,SAI,ferrari,Ferrari,6,7,6.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,norris,NOR,mclaren,McLaren,9,8,4.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,ocon,OCO,alpine,Alpine,5,9,2.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,gasly,GAS,alphatauri,AlphaTauri,12,10,1.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,stroll,STR,aston_martin,Aston Martin,11,11,0.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,raikkonen,RAI,alfa,Alfa Romeo Racing,17,12,0.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,vettel,VET,aston_martin,Aston Martin,13,13,0.0,fastf1
2021,4,2021-05-09,Spanish Grand Prix,,,russell,RUS,williams,Williams,15,14,0.0,fastf1
